Scan,Type,BCID,sigma,sigmaErr,Mean,MeanErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,X,3102,0.015801813768066775,1.4216196294264106e-05,-0.0007075634489509142,2.5112099751609363e-05,0.022347139340893937,2.0104737604706435e-05,0.12095911561826497,0.0001392252094787551,0.006775642352454352,9.898483033809173e-06,0,21.15338378154523,4
1,X,3103,0.01580922301271299,1.1251888086167058e-05,-0.0006295523186237181,2.1661901746604177e-05,0.022357617595159553,1.5912572733761702e-05,0.12187646592521842,0.00018023137447219809,0.0068302297171000505,1.1209526958495303e-05,0,106.77570494683039,4
1,X,3104,0.01578354347312189,1.545731146193149e-05,-0.000575927986684464,2.7651239859189344e-05,0.022321301241994322,2.185993950728861e-05,0.1213961983843519,0.000239340379861569,0.006792263560140546,1.4952476330369582e-05,0,31.4530352024765,4
1,X,3105,0.01572151582856003,1.3446332711102661e-05,-0.0006350694180755681,2.5770974149384503e-05,0.022233580905812886,1.9015986084222374e-05,0.12286814184840214,0.00019825166876289224,0.006847604043834338,1.2505069127361587e-05,0,22.67796101788783,4
1,X,3106,0.015799731065700217,1.5161588200767198e-05,-0.0005353736986511631,2.444474217649218e-05,0.02234419395496076,2.1441723660640865e-05,0.12147425987273339,0.00018949839173501966,0.006803601815281332,1.2460839018255323e-05,0,24.400524092408315,4
1,X,3107,0.01573305925901557,1.4682640375086245e-05,-0.00025405067301576434,2.6061340063448995e-05,0.02224990578171942,2.0764389149893756e-05,0.12337512646568667,0.00012420894507513897,0.006880907526038666,9.445884453815052e-06,0,50.88922378613032,4
1,X,3108,0.015731602204048078,1.2772528898090518e-05,-0.00029552768018757105,2.1619387587497054e-05,0.022247845194823267,1.8063083593481895e-05,0.12221324139661546,0.00019715854484002638,0.006815475342983233,1.230888712929851e-05,0,43.286942650776744,4
1,X,3116,0.015683809833962108,1.2000384846905658e-05,-0.000599218217367417,2.4412258004757786e-05,0.022180256576869735,1.697110700419056e-05,0.12256719783976718,0.00020354487416596176,0.006814449181115742,1.246001864939299e-05,0,218.55133276269345,4
1,X,3117,0.015230350434968606,1.361258845869207e-05,-0.0005475140734239166,2.531439995300265e-05,0.021538968144827572,1.9251107217285793e-05,0.13431564417463873,0.00020378167721576715,0.007251726686673718,1.2769410702787149e-05,0,30.782047581327245,4
1,X,3118,0.015184116313045294,1.2176506765975188e-05,-0.0005181094608067113,1.8071504385458923e-05,0.02147358322255921,1.7220181010769868e-05,0.1354765393383596,0.0001847315885835562,0.007292199611581039,1.153551774523052e-05,0,23.747745459048666,4
1,X,3119,0.015254627636954446,1.6355723621310925e-05,-0.0006135652568291161,2.539899550183127e-05,0.021573301293132417,2.3130486167683904e-05,0.13344926953094285,0.00020075023215438575,0.007216435660924564,1.3330979820567473e-05,0,12.780291860298979,4
1,X,3120,0.01522856195080714,1.2817107672477977e-05,-0.0005778447608496567,1.9583305649151776e-05,0.021536438846270337,1.812612750081461e-05,0.13318223383521718,0.00015667409828187278,0.007189689274136736,1.0399641953025736e-05,0,30.356829543395698,4
1,X,3121,0.015324421477692345,1.3814224295300198e-05,-0.0005989581789071339,2.2432911437872232e-05,0.021672004689274063,1.9536263352077454e-05,0.13219653669306541,0.00020552875922820956,0.0071813996757502255,1.290610218440422e-05,0,22.417641417687697,4
